Infinitiv,Partizip Perfekt,Passivform,Zu-Infinitiv,Nominalisierung,Typ,Definition,Synonyme,UUID
aktivieren,aktiviert,aktiviert wird,zu aktivieren,Aktivierung,software,"Die in der Anforderung benannte Funktion des Betrachtungsgegenstands wird eingeschaltet und kann vom Nutzenden nicht ausgeschaltet werden. Die Aktivierung gilt auch dann als umgesetzt, wenn das System die benannte Funktion immer besitzt auch ohne, dass diese konfigurierbar ist. Entscheidend ist, dass die Funktion auch tatsächlich funktioniert.",,4d9da359-34e9-41b2-b198-ed53920a0414
anhören,angehört,angehört wird,anzuhören,Anhörung,policy,"In der Anforderung benannte Personen oder Organisationseinheiten erhalten die Möglichkeit, sich innerhalb einer angemessenen Frist zu der in der Anforderung benannten Angelegenheit zu äußern, bevor eine Entscheidung getroffen wird. Die Stellungnahme kann in beliebiger Form eingeholt werden, z.B. mündlich oder in Textform. Bei der Entscheidung ist die Stellungnahme zu berücksichtigen. Wird die Entscheidung entgegen der Stellungnahme getroffen, so ist die Begründung hierfür zu dokumentieren.","fragen, konsultieren, beteiligen, einbeziehen",b8e9be24-22fb-4f1c-a60c-a2f8f0b4c47d
anweisen,angewiesen,angewiesen werden,anzuweisen,Anweisung,policy,"Der Personengruppe wurde verbindlich und nachweisbar mitgeteilt, dass eine in der Anforderung benannte Verhaltensweise einzuhalten ist.","anordnen, auferlegen, auftragen, betrauen, verpflichten, gebieten, instruieren",15492510-b3c9-48e8-8c5f-1b8fa9ce5498
ausführen,ausgeführt,ausführen wird,auszuführen,Ausführung,policy,Ein Prozess oder eine bestimmte technische Funktion wird unter den benannten Bedingungen durchgeführt. Dies kann je nach individuellem Kontext automatisch geschehen oder manuell durchgeführt werden.,durchführen,54a1c8e6-043f-411c-8e83-a5a47bb840fe
authentifizieren,authentifiziert,authentifiziert wird,zu authentifizieren,Authentifizierung,policy,"Der Betrachtungsgegenstand überprüft eingehende Authentisierungsdaten daraufhin, ob diese gültig sind und dazu berechtigen die angeforderte Aktion durchzuführen. In der Regel wird ""authentifizieren"" im Zusammenhang mit technischen Betrachtungsgegenständen verwendet, wenn diese überprüfen sollen, ob Nutzende oder Anwendungen berechtigt sind eine Aktion am Betrachtungsgegenstand durchzuführen. Allerdings kann Authentifizierung auch manuell stattfinden, z.B. an einem Eingang.","beglaubigen, bezeugen, verifizieren",8e423108-c6dd-41fd-8104-e9221bd9d085
autorisieren,autorisiert,autorisiert wird,zu autorisieren,Autorisierung,policy,"Die (weitere) Verwendung eines Zielobjektes oder eine bestimmte Handlung wird von der Institution freigegeben. ""Freigabe"" bedeutet hier die formale Erlaubnis nach einer sachlichen und fachlichen Prüfung, typischerweise durch Rollen wie (1) Netzwerkarchitekt, (2) IT-Sicherheitsbeauftragter oder (3) Leiter IT-Betrieb. Für die Beurteilung, ob eine Freigabe erteilt wird oder nicht, sind folgende Fragen relevant: (a) Steht die Autorisierung im Widerspruch zu den festgelegten Verfahren und Regelungen für das betreffende Zielobjekt oder den betreffenden Prozess? (b) Risikoabschätzung: Stehen die mit der Freigabe verbundenen Risiken für die Informationssicherheit im Verhältnis zu der damit verbundenen Schutzwirkung und dem Geschäftsinteresse?","befugen, erteilen, freigeben, berechtigen, bestätigen, stattgeben, gewähren",7e32a8ee-3b6b-45c2-a788-d4223d7920ad
blockieren,blockiert,blockiert wird,zu blockieren,Blockierung,software,"Der in der Anforderung Zustand darf nicht auftreten. Soweit ohne Beeinträchtigung anderer Sicherheitsmechanismen möglich ist dies durch automatisches Blockieren realisiert, wenn das Ereignis auftritt. Blockieren gilt auch dann als umgesetzt, wenn das System die benannte Funktion nicht besitzt.",,2abccead-8fc1-4f04-af4b-8c5ff796bd67
deaktivieren,deaktiviert,deaktiviert wird,zu deaktivieren,Deaktivierung,software,"Die in der Anforderung benannte Funktion des Betrachtungsgegenstands wird nicht verwendet. Soweit ohne Beeinträchtigung anderer Sicherheitsmechanismen möglich ist dies durch die Abschaltung der Funktion realisiert. Die Deaktivierung gilt auch dann als umgesetzt, wenn das System die benannte Funktion nicht besitzt.",,5f0f5c35-65a5-4db2-9b27-0d86c2d7089b
dokumentieren,dokumentiert,dokumentiert wird,zu dokumentieren,Dokumentation,policy,"Das in der Anforderung benanntes Ergebnis, Zustand, oder Verfahren ist in Textform festgehalten und die erforderlichen Stellen haben Zugriff auf diese Dokumentation. Die Umsetzung kann z.B. als Papierdokument, als digitaler Text in Prosa-Form oder auch für Menschen lesbare Konfigurationsdatei vorgenommen werden. Eine Dokumentation in Anwendungen (z. B. einem Ticketsystem oder einer Verwaltungssoftware) ist dabei ebenfalls zulässig, sofern die Anforderung keine andere Form vorschreibt. Die Dokumentation muss auf einem dauerhaften Datenträger gespeichert sein, solange der Betrachtungsgegenstand für den Informationsverbund relevant ist und für fachkundige Mitarbeitende verständlich sein. Wer Zugriff auf die Dokumentation benötigt ergibt sich aus dem Sinn und Zweck der Dokumentation. Bitte beachten Sie auch, dass Dokumentationen zu aktualisieren sind, wenn sich die dokumentierten Prozesse oder Informationen verändern.",,1ed72769-e05f-4a97-ad2e-99a70f1480e8
einschränken,eingeschränkt,eingeschränkt wird,einzuschränken,Einschränkung,software,"Die in der Anforderung benannte Funktion, Verfahren, Betrachtungsgegenstand oder Berechtigung ist nur dann für andere Betrachtungsgegenstände nutzbar, wenn es dafür einen Bedarf gibt. Die Anforderung gilt auch dann als erfüllt, wenn der Betrachtungsgegenstand deaktiviert ist oder jedweden Zugriff ablehnt.","beschränken, begrenzen, drosseln, eingrenzen, reduzieren, einengen",c8289ac3-7877-4224-b43b-08e005e461ad
